KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","CISORP",65,"5311","Pøelouè","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5312","Svitavy","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5313","Ústí nad Orlicí","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5314","Vysoké Mıto","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5315","amberk","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"6101","Bystøice nad Pernštejnem","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6102","Havlíèkùv Brod","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6103","Humpolec","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6104","Chotìboø","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6105","Jihlava","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6106","Moravské Budìjovice","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6107","Námìš nad Oslavou","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6108","Nové Mìsto na Moravì","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6109","Pacov","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6110","Pelhøimov","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6111","Svìtlá nad Sázavou","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6112","Telè","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6113","Tøebíè","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6114","Velké Meziøíèí","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6115","ïár nad Sázavou","KRAJ_NUTS",100,"3107","Kraj Vysoèina"
"CS","Editaèní vazba","CISORP",65,"6201","Blansko","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6202","Boskovice","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6203","Brno","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
